date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:11:38	119/119	---MC-	200	added ('OK')	text/plain	date:Thu,%2025%20Jul%202024%2008:11:36%20GMT	https://www.gmciltd.com/robots.txt		(from )
16:11:39	218751/218751	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jul%202024%2008:11:37%20GMT	https://www.gmciltd.com/cosmetic/	C:/My%20Web%20Sites/glucanbio/www.gmciltd.com/cosmetic/index.html	(from )
16:11:41	2894/2894	---M--	200	added ('OK')	text/css	date:Wed,%2017%20Jul%202024%2013:46:09%20GMT	https://www.gmciltd.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.9.7	C:/My%20Web%20Sites/glucanbio/www.gmciltd.com/wp-content/plugins/contact-form-7/includes/css/styles1014.css	(from https://www.gmciltd.com/cosmetic/)
16:11:43	1538/1538	---M--	200	added ('OK')	text/css	date:Sun,%2023%20Jan%202022%2011:33:28%20GMT	https://www.gmciltd.com/wp-content/plugins/dg-divi-carousel/styles/light-box-styles.css?ver=2.0.23	C:/My%20Web%20Sites/glucanbio/www.gmciltd.com/wp-content/plugins/dg-divi-carousel/styles/light-box-styles6cd3.css	(from https://www.gmciltd.com/cosmetic/)
16:11:44	19789/19789	---M--	200	added ('OK')	text/css	date:Sun,%2023%20Jan%202022%2011:33:28%20GMT	https://www.gmciltd.com/wp-content/plugins/dg-divi-carousel/styles/swiper.min.css?ver=2.0.23	C:/My%20Web%20Sites/glucanbio/www.gmciltd.com/wp-content/plugins/dg-divi-carousel/styles/swiper.min6cd3.css	(from https://www.gmciltd.com/cosmetic/)
16:11:46	128983/128983	---M--	200	added ('OK')	text/css	date:Fri,%2008%20Dec%202023%2001:59:06%20GMT	https://www.gmciltd.com/wp-content/plugins/google-language-translator/css/style.css?ver=6.0.20	C:/My%20Web%20Sites/glucanbio/www.gmciltd.com/wp-content/plugins/google-language-translator/css/style99ae.css	(from https://www.gmciltd.com/cosmetic/)
16:11:46	77723/77723	---M--	200	added ('OK')	text/css	date:Wed,%2017%20Jul%202024%2001:48:16%20GMT	https://www.gmciltd.com/wp-content/plugins/ultimate-social-media-icons/css/sfsi-style.css?ver=2.9.2	C:/My%20Web%20Sites/glucanbio/www.gmciltd.com/wp-content/plugins/ultimate-social-media-icons/css/sfsi-styleab7d.css	(from https://www.gmciltd.com/cosmetic/)
16:11:47	24334/24334	---M--	200	added ('OK')	text/css	date:Sun,%2023%20Jan%202022%2020:01:47%20GMT	https://www.gmciltd.com/wp-content/plugins/wp-socializer/public/css/wpsr.min.css?ver=7.1	C:/My%20Web%20Sites/glucanbio/www.gmciltd.com/wp-content/plugins/wp-socializer/public/css/wpsr.min4d6f.css	(from https://www.gmciltd.com/cosmetic/)
16:11:48	59344/59344	---MCZ	200	added ('OK')	text/css	etag:W/%2274bab4578692993514e7f882cc15c218%22	https://use.fontawesome.com/releases/v5.15.3/css/all.css?ver=7.1	C:/My%20Web%20Sites/glucanbio/use.fontawesome.com/releases/v5.15.3/css/all4d6f.css	(from https://www.gmciltd.com/cosmetic/)
16:11:49	9427/9427	---M--	200	added ('OK')	image/gif	date:Sun,%2023%20Jan%202022%2012:15:55%20GMT	https://www.gmciltd.com/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	C:/My%20Web%20Sites/glucanbio/www.gmciltd.com/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	(from https://www.gmciltd.com/cosmetic/)
